id,start_lat,start_lon,end_lat,end_lon
4820,116.38636,40.01002,116.38124,40.01001
4821,116.41446,40.00948,116.40807,40.00955
4822,116.37759,40.01001,116.37559,40.00997
4823,116.37497,40.00993,116.37251,40.0098
4824,116.36795,40.00963,116.36459,40.00946
4825,116.37114,40.00969,116.36948,40.00962
4826,116.36462,40.00936,116.375,40.00979
4827,116.40807,40.00938,116.41625,40.00931
4828,116.40028,40.00958,116.40789,40.00939
4829,116.38111,40.00984,116.38637,40.00981
4830,116.37515,40.00979,116.38111,40.00984
4831,116.28181,39.9955,116.28085,39.99063
4832,116.28001,39.9827,116.28158,39.97919
4833,116.28085,39.99063,116.28001,39.9827
4834,116.28242,39.97773,116.28108,39.98046
4835,116.28096,39.99058,116.28011,39.98271
4836,116.28117,39.99148,116.28193,39.99534
4837,116.46829,40.08165,116.46289,40.05743
4838,116.45985,40.03011,116.46247,40.02056
4839,116.46925,40.08409,116.46828,40.08173
4840,116.46032,40.03798,116.45989,40.03075
4841,116.46289,40.05743,116.46027,40.04389
4842,116.46815,40.08245,116.46921,40.08406
4843,116.45986,40.03021,116.46029,40.04027
4844,116.46161,40.02281,116.45986,40.03021
4845,116.46029,40.04027,116.46266,40.05705
4846,116.46465,40.06022,116.46828,40.08173
4847,116.40865,40.02264,116.40236,40.0228
4848,116.44123,40.02176,116.43735,40.02185
4849,116.41613,40.02338,116.41466,40.02338
4850,116.41466,40.02338,116.40881,40.02264
4851,116.43677,40.02194,116.41613,40.02338
4852,116.45959,40.02057,116.45003,40.02113
4853,116.46708,40.02065,116.4646,40.0206
4854,116.44757,40.02127,116.44175,40.02163
4855,116.40919,40.0221,116.41798,40.02202
4856,116.40248,40.02218,116.40858,40.02214
4857,116.44261,40.02157,116.44888,40.0212
4858,116.41956,40.022,116.43612,40.0216
4859,116.46254,40.0205,116.46733,40.02058
4860,116.44888,40.0212,116.46241,40.02052
4861,116.43732,40.02127,116.439,40.01363
4862,116.2834,39.97376,116.28833,39.96742
4863,116.28095,39.97836,116.28249,39.97458
4864,116.2962,39.95698,116.29536,39.95885
4865,116.29717,39.93733,116.29695,39.93976
4866,116.29536,39.95885,116.29445,39.95999
4867,116.29695,39.93976,116.29628,39.94424
4868,116.28709,39.97209,116.28578,39.97414
4869,116.28578,39.97414,116.2824,39.97765
4870,116.295,39.95919,116.2898,39.96683
4871,116.28976,39.96688,116.28709,39.97209
4872,116.28095,39.97836,116.28891,39.96682
4873,116.28897,39.96675,116.2922,39.96222
4874,116.29225,39.96213,116.29364,39.95978
4875,116.2937,39.95966,116.2945,39.95814
4876,116.28685,39.96675,116.28366,39.96657
4877,116.28885,39.96682,116.2871,39.96676
4878,116.27943,39.96633,116.27511,39.96653
4879,116.28336,39.96655,116.27994,39.96633
4880,116.28701,39.96668,116.28897,39.96675
4881,116.27982,39.96625,116.28347,39.96648
4882,116.28357,39.96648,116.28701,39.96668
4883,116.27431,39.96644,116.27982,39.96625
4884,116.29477,39.95713,116.29481,39.95462
4885,116.29408,39.93216,116.29651,39.92679
4886,116.29481,39.95462,116.29486,39.95069
4887,116.29529,39.94227,116.29589,39.93699
4888,116.29589,39.93699,116.29626,39.93348
4889,116.295,39.94599,116.29529,39.94227
4890,116.29653,39.94719,116.29615,39.95353
4891,116.29623,39.91906,116.29749,39.92305
4892,116.29813,39.92425,116.29746,39.92991
4893,116.29868,39.93249,116.29717,39.93733
4894,116.29615,39.95353,116.2962,39.95698
4895,116.29591,39.94786,116.2963,39.95577
4896,116.29603,39.91874,116.29613,39.9454
4897,116.29651,39.92605,116.29656,39.9237
4898,116.29491,39.94951,116.29636,39.93162
4899,116.2945,39.95814,116.29501,39.95608
4900,116.29646,39.92904,116.29651,39.92679
4901,116.29501,39.95608,116.2949,39.94968
4902,116.28347,39.96648,116.28371,39.96371
4903,116.28371,39.96371,116.28391,39.96156
4904,116.28392,39.96147,116.28416,39.95958
4905,116.28416,39.95958,116.28443,39.95726
4906,116.2838,39.96412,116.28358,39.96639
4907,116.28401,39.96165,116.28383,39.96363
4908,116.28427,39.95976,116.28405,39.96137
4909,116.28453,39.95742,116.28431,39.95944
4910,116.50914,39.84799,116.50832,39.83316
4911,116.50826,39.83239,116.50838,39.82631
4912,116.5084,39.82583,116.50825,39.83188
4913,116.50826,39.83239,116.50926,39.84787
4914,116.28954,39.96186,116.28754,39.96167
4915,116.29192,39.96217,116.29171,39.96213
4916,116.28741,39.96167,116.28402,39.96156
4917,116.27842,39.96139,116.27561,39.96137
4918,116.28379,39.96155,116.28037,39.96145
4919,116.29081,39.96191,116.29225,39.96213
4920,116.28742,39.96159,116.29063,39.96188
4921,116.28026,39.96136,116.28392,39.96147
4922,116.28403,39.96147,116.28742,39.96159
4923,116.27603,39.96124,116.28026,39.96136
4924,116.63808,40.03464,116.59449,40.03649
4925,116.64035,40.03491,116.63956,40.03477
4926,116.66886,40.03932,116.64362,40.03516
4927,116.59015,40.03633,116.57616,40.03591
4928,116.58471,40.03544,116.59124,40.03631
4929,116.6391,40.03463,116.64362,40.03516
4930,116.65478,40.03577,116.66866,40.03927
4931,116.57598,40.03589,116.58471,40.03544
4932,116.59124,40.03631,116.63899,40.03461
4933,116.34544,39.86819,116.32114,39.868
4934,116.32113,39.86786,116.34656,39.86804
4935,116.34662,39.86858,116.34105,39.86828
4936,116.34105,39.86828,116.32846,39.86826
4937,116.32846,39.86826,116.32114,39.86811
4938,116.31625,39.86738,116.34661,39.8677
4939,116.48252,40.00862,116.48264,40.00558
4940,116.48242,40.01052,116.48251,40.00875
4941,116.4838,40.01275,116.48323,40.01187
4942,116.48251,40.00875,116.48242,40.01052
4943,116.48246,40.0107,116.48384,40.01281
4944,116.48264,40.00573,116.48258,40.00731
4945,116.48207,40.00875,116.47844,40.00875
4946,116.48738,40.01023,116.48504,40.00901
4947,116.48441,40.00885,116.48285,40.00875
4948,116.47836,40.00862,116.48252,40.00862
4949,116.48252,40.00862,116.48461,40.00876
4950,116.48485,40.00881,116.48762,40.01023
4951,116.46726,40.0087,116.463,40.00853
4952,116.46271,40.00852,116.46044,40.00842
4953,116.46286,40.00843,116.46734,40.00859
4954,116.45815,40.00824,116.46286,40.00843
4955,116.47311,40.00862,116.47319,40.00635
4956,116.47292,40.01417,116.47298,40.01169
4957,116.47298,40.01144,116.4731,40.00873
4958,116.47319,40.00635,116.47325,40.00529
4959,116.47325,40.00529,116.47319,40.00635
4960,116.47301,40.0107,116.47298,40.01138
4961,116.47298,40.01161,116.47292,40.01422
4962,116.47316,40.00741,116.47315,40.00764
4963,116.47823,40.00875,116.4731,40.00873
4964,116.4731,40.00873,116.47029,40.00871
4965,116.47029,40.00871,116.46763,40.00869
4966,116.46772,40.00859,116.46824,40.00859
4967,116.47768,40.00862,116.47813,40.00861
4968,116.47061,40.00861,116.47265,40.00861
4969,116.41649,40.06644,116.41689,40.06408
4970,116.41705,40.06126,116.41687,40.05843
4971,116.41449,40.05435,116.41607,40.05664
4972,116.4169,40.05806,116.41716,40.06166
4973,116.41717,40.06172,116.41631,40.0679
4974,116.40822,40.16179,116.40811,40.12905
4975,116.41175,40.11591,116.41206,40.10449
4976,116.40821,40.12848,116.41169,40.11657
4977,116.41384,40.08555,116.41408,40.08333
4978,116.41214,40.0477,116.41205,40.04567
4979,116.41208,40.10434,116.41289,40.09511
4980,116.40733,40.17656,116.40815,40.16304
4981,116.4138,40.07943,116.41286,40.07417
4982,116.41286,40.07417,116.41259,40.07101
4983,116.41283,40.06791,116.41341,40.06092
4984,116.41259,40.07101,116.41283,40.06798
4985,116.41366,40.05804,116.41214,40.0477
4986,116.41341,40.06092,116.41366,40.05804
4987,116.41322,40.04448,116.41329,40.04438
4988,116.41223,40.0462,116.4123,40.0477
4989,116.40835,40.1618,116.40747,40.17686
4990,116.41223,40.11658,116.40876,40.12887
4991,116.40876,40.12887,116.40835,40.1618
4992,116.41435,40.08407,116.41381,40.08915
4993,116.41381,40.08915,116.41262,40.10453
4994,116.41228,40.04832,116.41387,40.05787
4995,116.41262,40.10453,116.41224,40.11647
4996,116.4141,40.0794,116.41435,40.08407
4997,116.41309,40.07419,116.4141,40.0794
4998,116.41306,40.06798,116.41281,40.07103
4999,116.41307,40.07411,116.41281,40.07103
5000,116.41385,40.0581,116.41312,40.0671
5001,116.30263,39.88984,116.29932,39.88965
5002,116.30994,39.88931,116.30296,39.88987
5003,116.29918,39.88957,116.3028,39.88976
5004,116.3028,39.88976,116.31006,39.88928
5005,116.36074,39.89942,116.31353,39.89709
5006,116.31347,39.89695,116.36002,39.89926
5007,116.3291,39.89729,116.31178,39.89726
5008,116.34748,39.89822,116.32923,39.89729
5009,116.32921,39.89682,116.34566,39.89759
5010,116.31252,39.89636,116.32898,39.89683
5011,116.3291,39.89729,116.31178,39.89726
5012,116.34748,39.89822,116.32923,39.89729
5013,116.32921,39.89682,116.34566,39.89759
5014,116.31252,39.89636,116.32898,39.89683
5015,116.31314,39.89709,116.27836,39.89706
5016,116.27836,39.89693,116.31312,39.89695
5017,116.30886,39.89725,116.29512,39.89725
5018,116.29006,39.89684,116.30524,39.8968
5019,116.30886,39.89725,116.29512,39.89725
5020,116.29006,39.89684,116.30524,39.8968
5021,116.2723,39.89705,116.20899,39.89269
5022,116.21007,39.89337,116.27058,39.89692
5023,116.22869,39.89714,116.22152,39.89716
5024,116.23585,39.89717,116.23014,39.89715
5025,116.27245,39.89834,116.26475,39.89715
5026,116.26462,39.89715,116.25368,39.89717
5027,116.25267,39.89718,116.23617,39.89718
5028,116.23014,39.89672,116.23592,39.89672
5029,116.23749,39.89671,116.25213,39.89675
