2016-09-11,53,32
2016-09-12,47,31
2016-09-13,115,86
2016-09-14,136,101
2016-09-15,96,69
2016-09-16,183,133
2016-09-17,61,41
2016-09-18,32,22
2016-09-19,27,10
2016-09-20,39,18
2016-09-21,89,63
2016-09-22,132,99
2016-09-23,160,121
2016-09-24,147,111
2016-09-25,210,162
2016-09-26,80,58
2016-09-27,44,24
2016-09-28,30,13
2016-09-29,76,51
2016-09-30,128,97
2016-11-01,62,40
2016-11-02,132,99
2016-11-03,227,182
2016-11-04,293,242
2016-11-05,229,179
2016-11-06,96,71
2016-11-07,57,39
2016-11-08,55,34
2016-11-09,190,148
2016-11-10,170,130
2016-11-11,104,77
2016-11-12,99,74
2016-11-13,125,93
2016-11-14,78,42
2016-11-15,88,62
2016-11-16,129,97
2016-11-17,151,114
2016-11-18,239,188
2016-11-19,162,123
2016-11-20,73,52
2016-11-21,26,9
2016-11-22,28,7
2016-11-23,33,17
2016-11-24,94,67
2016-11-25,195,153
2016-11-26,306,254
2016-11-27,79,56
2016-11-28,81,58
2016-11-29,128,96
2016-11-30,123,89
2016-10-01,214,165
2016-10-02,234,183
2016-10-03,160,120
2016-10-04,56,33
2016-10-05,76,55
2016-10-06,97,72
2016-10-07,56,39
2016-10-08,29,11
2016-10-09,55,31
2016-10-10,117,87
2016-10-11,154,116
2016-10-12,103,77
2016-10-13,193,150
2016-10-14,292,241
2016-10-15,241,190
2016-10-16,158,119
2016-10-17,83,59
2016-10-18,154,117
2016-10-19,276,225
2016-10-20,126,94
2016-10-21,60,42
2016-10-22,24,14
2016-10-23,45,26
2016-10-24,88,60
2016-10-25,128,96
2016-10-26,76,43
2016-10-27,52,30
2016-10-28,28,10
2016-10-29,51,23
2016-10-30,66,43
2016-10-31,29,8
2017-01-01,454,430
2017-01-02,220,161
2017-01-03,338,290
2017-01-04,393,344
2017-01-05,276,224
2017-01-06,245,194
2017-01-07,211,165
2017-01-08,54,36
2017-01-09,49,32
2017-01-10,44,23
2017-01-11,77,56
2017-01-12,59,39
2017-01-13,30,7
2017-01-14,35,18
2017-01-15,72,51
2017-01-16,123,92
2017-01-17,176,132
2017-01-18,53,37
2017-01-19,85,45
2017-01-20,40,21
2017-01-21,53,25
2017-01-22,36,23
2017-01-23,46,32
2017-01-24,114,85
2017-01-25,221,171
2017-01-26,203,159
2017-01-27,85,60
2017-01-28,364,337
2017-01-29,80,39
2017-01-30,47,24
2017-01-31,102,75
2017-02-01,54,30
2017-02-02,107,80
2017-02-03,196,154
2017-02-04,294,247
2017-02-05,32,12
2017-02-06,35,12
2017-02-07,101,75
2017-02-08,60,32
2017-02-09,36,6
2017-02-10,38,6
2017-02-11,62,42
2017-02-12,138,104
2017-02-13,109,79
2017-02-14,225,176
2017-02-15,283,232
2017-02-16,145,107
2017-02-17,45,20
2017-02-18,111,83
2017-02-19,150,97
2017-02-20,39,10
2017-02-21,83,60
2017-02-22,106,76
2017-02-23,36,16
2017-02-24,43,25
2017-02-25,30,10
2017-02-26,44,27
2017-02-27,87,64
2017-02-28,34,14
2016-12-01,47,27
2016-12-02,123,92
2016-12-03,232,191
2016-12-04,291,246
2016-12-05,78,49
2016-12-06,103,75
2016-12-07,159,120
2016-12-08,132,91
2016-12-09,37,21
2016-12-10,67,46
2016-12-11,204,159
2016-12-12,270,219
2016-12-13,78,56
2016-12-14,40,24
2016-12-15,51,25
2016-12-16,135,101
2016-12-17,229,184
2016-12-18,270,219
2016-12-19,265,214
2016-12-20,409,365
2016-12-21,429,393
2016-12-22,151,93
2016-12-23,47,31
2016-12-24,155,117
2016-12-25,191,145
2016-12-26,64,45
2016-12-27,54,35
2016-12-28,85,57
2016-12-29,75,54
2016-12-30,249,201
2016-12-31,329,280
